Business_name,latitude,longitude,zipcode,category,lifeline_num,lifeline_name,Source
The Law Office of Brian S. Laviage,29.7856286,-95.4454596,77024,employmentlawyers,1,Safety & Security,Yelp
Cochell Law Firm,29.750672,-95.4831881,77057,employmentlawyers,1,Safety & Security,Yelp
Rucker Law Firm,29.761197,-95.361248,77002,employmentlawyers,1,Safety & Security,Yelp
Kennedy Hodges,29.7329894,-95.3907354,77006,employmentlawyers,1,Safety & Security,Yelp
Shellist Lazarz Slobin LLP,29.732195,-95.435475,77046,employmentlawyers,1,Safety & Security,Yelp
Law Office of Chukwudi Egbuonu,29.7283576,-95.4435547,77027,employmentlawyers,1,Safety & Security,Yelp
The Clifford Law Firm,29.758883,-95.363858,77002,employmentlawyers,1,Safety & Security,Yelp
Charles Johnson Law Firm,29.7583908,-95.365266,77002,employmentlawyers,1,Safety & Security,Yelp
"Kennard Law, PC",29.763218592464572,-95.46615335515953,77056,employmentlawyers,1,Safety & Security,Yelp
"Coane and Associates, PLLC",29.7506865142804,-95.4672373544922,77056,employmentlawyers,1,Safety & Security,Yelp
Leeds Law Firm,29.759917,-95.3654197,77002,employmentlawyers,1,Safety & Security,Yelp
Broemer & Associates,29.78137,-95.39202,77007,employmentlawyers,1,Safety & Security,Yelp
Pennell Law Firm,29.751474,-95.451648,77027,employmentlawyers,1,Safety & Security,Yelp
Adame Garza,29.79521,-95.39873,77008,employmentlawyers,1,Safety & Security,Yelp
Spielberger Law Group,29.769413,-95.372062,77002,employmentlawyers,1,Safety & Security,Yelp
Peckham Martin,29.757802,-95.480612,77057,employmentlawyers,1,Safety & Security,Yelp
Garza & Associates,29.714239646763964,-95.45378407288452,77401,employmentlawyers,1,Safety & Security,Yelp
TB Robinson Law Group,29.7508051,-95.5022556,77063,employmentlawyers,1,Safety & Security,Yelp
Potts Law Firm,29.7324077,-95.4281569,77098,employmentlawyers,1,Safety & Security,Yelp
The Law Office of Brian S. Laviage,29.7856286,-95.4454596,77024,employmentlawyers,1,Safety & Security,Yelp
Cochell Law Firm,29.750672,-95.4831881,77057,employmentlawyers,1,Safety & Security,Yelp
Rucker Law Firm,29.761197,-95.361248,77002,employmentlawyers,1,Safety & Security,Yelp
Kennedy Hodges,29.7329894,-95.3907354,77006,employmentlawyers,1,Safety & Security,Yelp
Shellist Lazarz Slobin LLP,29.732195,-95.435475,77046,employmentlawyers,1,Safety & Security,Yelp
Law Office of Chukwudi Egbuonu,29.7283576,-95.4435547,77027,employmentlawyers,1,Safety & Security,Yelp
The Clifford Law Firm,29.758883,-95.363858,77002,employmentlawyers,1,Safety & Security,Yelp
Charles Johnson Law Firm,29.7583908,-95.365266,77002,employmentlawyers,1,Safety & Security,Yelp
"Kennard Law, PC",29.763218592464572,-95.46615335515953,77056,employmentlawyers,1,Safety & Security,Yelp
"Coane and Associates, PLLC",29.7506865142804,-95.4672373544922,77056,employmentlawyers,1,Safety & Security,Yelp
Leeds Law Firm,29.759917,-95.3654197,77002,employmentlawyers,1,Safety & Security,Yelp
Broemer & Associates,29.78137,-95.39202,77007,employmentlawyers,1,Safety & Security,Yelp
Pennell Law Firm,29.751474,-95.451648,77027,employmentlawyers,1,Safety & Security,Yelp
Adame Garza,29.79521,-95.39873,77008,employmentlawyers,1,Safety & Security,Yelp
Spielberger Law Group,29.769413,-95.372062,77002,employmentlawyers,1,Safety & Security,Yelp
Peckham Martin,29.757802,-95.480612,77057,employmentlawyers,1,Safety & Security,Yelp
Garza & Associates,29.714239646763964,-95.45378407288452,77401,employmentlawyers,1,Safety & Security,Yelp
TB Robinson Law Group,29.7508051,-95.5022556,77063,employmentlawyers,1,Safety & Security,Yelp
The Nech Law Firm,29.75779,-95.48059,77057,employmentlawyers,1,Safety & Security,Yelp
The Patton Law Firm,29.7828678058509,-95.397853004819,77007,willstrustsprobates,1,Safety & Security,Yelp
Filis Law Firm,29.8480344,-95.4943071,77092,willstrustsprobates,1,Safety & Security,Yelp
The Kuo Law Firm,29.705016,-95.5597511,77072,willstrustsprobates,1,Safety & Security,Yelp
McCulloch & Miller,29.746535,-95.473454,77056,willstrustsprobates,1,Safety & Security,Yelp
"McDonald Worley, PC",29.7484269,-95.4735783,77056,willstrustsprobates,1,Safety & Security,Yelp
The Law Office of Sam M Trey Yates III PC,29.73882975,-95.44217123,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Christina Lesher,29.7209377,-95.4188046,77005,willstrustsprobates,1,Safety & Security,Yelp
Law Office of David Nguyen,29.7053011,-95.5499042,77036,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Marcia Pevey,29.759138,-95.454231,77027,willstrustsprobates,1,Safety & Security,Yelp
"Law Offices of David G Peake & Sandra J Peake, PC",29.67598,-95.4938958,77096,willstrustsprobates,1,Safety & Security,Yelp
Taylor Law Firm,29.6785205,-95.4199337,77054,willstrustsprobates,1,Safety & Security,Yelp
"W. Timothy Weaver, Attorney at Law",29.7534351,-95.4612397,77056,willstrustsprobates,1,Safety & Security,Yelp
Patricia F Bushman,29.6733376,-95.4123804,77054,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Scott D. Reiner,29.7605,-95.36178,77002,willstrustsprobates,1,Safety & Security,Yelp
Ford + Bergner LLP,29.760574,-95.36623,77002,willstrustsprobates,1,Safety & Security,Yelp
Roxanne Ghobrial,29.76223,-95.462213,77056,willstrustsprobates,1,Safety & Security,Yelp
Wright Abshire Attorneys,29.70816,-95.46653,77401,willstrustsprobates,1,Safety & Security,Yelp
Abii & Associates,29.7497969,-95.4490342,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Maria S. Lowry,29.77988,-95.45786,77024,willstrustsprobates,1,Safety & Security,Yelp
Lindholm Law,29.732989,-95.4194012,77098,willstrustsprobates,1,Safety & Security,Yelp
Filis Law Firm,29.8480344,-95.4943071,77092,willstrustsprobates,1,Safety & Security,Yelp
The Kuo Law Firm,29.705016,-95.5597511,77072,willstrustsprobates,1,Safety & Security,Yelp
McCulloch & Miller,29.746535,-95.473454,77056,willstrustsprobates,1,Safety & Security,Yelp
"McDonald Worley, PC",29.7484269,-95.4735783,77056,willstrustsprobates,1,Safety & Security,Yelp
The Law Office of Sam M Trey Yates III PC,29.73882975,-95.44217123,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Christina Lesher,29.7209377,-95.4188046,77005,willstrustsprobates,1,Safety & Security,Yelp
Law Office of David Nguyen,29.7053011,-95.5499042,77036,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Marcia Pevey,29.759138,-95.454231,77027,willstrustsprobates,1,Safety & Security,Yelp
"Law Offices of David G Peake & Sandra J Peake, PC",29.67598,-95.4938958,77096,willstrustsprobates,1,Safety & Security,Yelp
Taylor Law Firm,29.6785205,-95.4199337,77054,willstrustsprobates,1,Safety & Security,Yelp
"W. Timothy Weaver, Attorney at Law",29.7534351,-95.4612397,77056,willstrustsprobates,1,Safety & Security,Yelp
Patricia F Bushman,29.6733376,-95.4123804,77054,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Scott D. Reiner,29.7605,-95.36178,77002,willstrustsprobates,1,Safety & Security,Yelp
Ford + Bergner LLP,29.760574,-95.36623,77002,willstrustsprobates,1,Safety & Security,Yelp
Roxanne Ghobrial,29.76223,-95.462213,77056,willstrustsprobates,1,Safety & Security,Yelp
Wright Abshire Attorneys,29.70816,-95.46653,77401,willstrustsprobates,1,Safety & Security,Yelp
Abii & Associates,29.7497969,-95.4490342,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Maria S. Lowry,29.77988,-95.45786,77024,willstrustsprobates,1,Safety & Security,Yelp
Lindholm Law,29.732989,-95.4194012,77098,willstrustsprobates,1,Safety & Security,Yelp
Chawla Law Firm,29.73599,-95.46125,77056,willstrustsprobates,1,Safety & Security,Yelp
The Kuo Law Firm,29.705016,-95.5597511,77072,willstrustsprobates,1,Safety & Security,Yelp
McCulloch & Miller,29.746535,-95.473454,77056,willstrustsprobates,1,Safety & Security,Yelp
"McDonald Worley, PC",29.7484269,-95.4735783,77056,willstrustsprobates,1,Safety & Security,Yelp
The Law Office of Sam M Trey Yates III PC,29.73882975,-95.44217123,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Christina Lesher,29.7209377,-95.4188046,77005,willstrustsprobates,1,Safety & Security,Yelp
Law Office of David Nguyen,29.7053011,-95.5499042,77036,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Marcia Pevey,29.759138,-95.454231,77027,willstrustsprobates,1,Safety & Security,Yelp
"Law Offices of David G Peake & Sandra J Peake, PC",29.67598,-95.4938958,77096,willstrustsprobates,1,Safety & Security,Yelp
Taylor Law Firm,29.6785205,-95.4199337,77054,willstrustsprobates,1,Safety & Security,Yelp
"W. Timothy Weaver, Attorney at Law",29.7534351,-95.4612397,77056,willstrustsprobates,1,Safety & Security,Yelp
Patricia F Bushman,29.6733376,-95.4123804,77054,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Scott D. Reiner,29.7605,-95.36178,77002,willstrustsprobates,1,Safety & Security,Yelp
Ford + Bergner LLP,29.760574,-95.36623,77002,willstrustsprobates,1,Safety & Security,Yelp
Roxanne Ghobrial,29.76223,-95.462213,77056,willstrustsprobates,1,Safety & Security,Yelp
Wright Abshire Attorneys,29.70816,-95.46653,77401,willstrustsprobates,1,Safety & Security,Yelp
Abii & Associates,29.7497969,-95.4490342,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Maria S. Lowry,29.77988,-95.45786,77024,willstrustsprobates,1,Safety & Security,Yelp
Lindholm Law,29.732989,-95.4194012,77098,willstrustsprobates,1,Safety & Security,Yelp
Chawla Law Firm,29.73599,-95.46125,77056,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Stacy M. Allen,29.760761,-95.397481,77019,willstrustsprobates,1,Safety & Security,Yelp
McCulloch & Miller,29.746535,-95.473454,77056,willstrustsprobates,1,Safety & Security,Yelp
"McDonald Worley, PC",29.7484269,-95.4735783,77056,willstrustsprobates,1,Safety & Security,Yelp
The Law Office of Sam M Trey Yates III PC,29.73882975,-95.44217123,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Christina Lesher,29.7209377,-95.4188046,77005,willstrustsprobates,1,Safety & Security,Yelp
Law Office of David Nguyen,29.7053011,-95.5499042,77036,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Marcia Pevey,29.759138,-95.454231,77027,willstrustsprobates,1,Safety & Security,Yelp
"Law Offices of David G Peake & Sandra J Peake, PC",29.67598,-95.4938958,77096,willstrustsprobates,1,Safety & Security,Yelp
Taylor Law Firm,29.6785205,-95.4199337,77054,willstrustsprobates,1,Safety & Security,Yelp
"W. Timothy Weaver, Attorney at Law",29.7534351,-95.4612397,77056,willstrustsprobates,1,Safety & Security,Yelp
Patricia F Bushman,29.6733376,-95.4123804,77054,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Scott D. Reiner,29.7605,-95.36178,77002,willstrustsprobates,1,Safety & Security,Yelp
Ford + Bergner LLP,29.760574,-95.36623,77002,willstrustsprobates,1,Safety & Security,Yelp
Roxanne Ghobrial,29.76223,-95.462213,77056,willstrustsprobates,1,Safety & Security,Yelp
Wright Abshire Attorneys,29.70816,-95.46653,77401,willstrustsprobates,1,Safety & Security,Yelp
Abii & Associates,29.7497969,-95.4490342,77027,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Maria S. Lowry,29.77988,-95.45786,77024,willstrustsprobates,1,Safety & Security,Yelp
Lindholm Law,29.732989,-95.4194012,77098,willstrustsprobates,1,Safety & Security,Yelp
Chawla Law Firm,29.73599,-95.46125,77056,willstrustsprobates,1,Safety & Security,Yelp
Law Office of Stacy M. Allen,29.760761,-95.397481,77019,willstrustsprobates,1,Safety & Security,Yelp
Pelton Law Offices,29.82383,-95.4109,77018,willstrustsprobates,1,Safety & Security,Yelp
Nassar Law,29.7605248,-95.3605869,77002,medicallaw,1,Safety & Security,Yelp
Terry Bryant Accident and Injury Law,29.78726,-95.497891,77024,medicallaw,1,Safety & Security,Yelp
Smith & Hassler,29.8119015,-95.42099367,77008,medicallaw,1,Safety & Security,Yelp
D. Miller & Associates,29.7382519,-95.5593065,77042,medicallaw,1,Safety & Security,Yelp
Tracey & Fox - Houston,29.7627004592967,-95.3645860840961,77002,medicallaw,1,Safety & Security,Yelp
Bob Bennett & Associates,29.7612011,-95.36126,77002,medicallaw,1,Safety & Security,Yelp
"Jose Orihuela, Attorney at Law",29.812938,-95.36089,77009,medicallaw,1,Safety & Security,Yelp
Kreindler & Associates,29.75887,-95.36381,77002,medicallaw,1,Safety & Security,Yelp
Simmons and Fletcher,29.7835161,-95.5374087,77024,medicallaw,1,Safety & Security,Yelp
Law Office of Johnnie Carter III,29.733591,-95.476194,77057,medicallaw,1,Safety & Security,Yelp
Ozlat Injury Lawyers,29.73462,-95.40094,77006,medicallaw,1,Safety & Security,Yelp
The Talaska Law Firm,29.77933,-95.39698,77007,medicallaw,1,Safety & Security,Yelp
The Pinkerton Law Firm,29.7668777,-95.421479,77007,medicallaw,1,Safety & Security,Yelp
Ramji Law Group,29.78528,-95.51719,77055,medicallaw,1,Safety & Security,Yelp
Le Law Group,29.703399,-95.556151,77072,medicallaw,1,Safety & Security,Yelp
Johnson Law Group,29.73356,-95.42271,77098,medicallaw,1,Safety & Security,Yelp
Todd E Webb,29.729517,-95.412356,77098,medicallaw,1,Safety & Security,Yelp
"Brown, Christie and Green",29.75887,-95.36381,77002,medicallaw,1,Safety & Security,Yelp
Blizzard Law,29.72798,-95.39152,77006,medicallaw,1,Safety & Security,Yelp
AK Law Firm: Injury Lawyers,29.759001,-95.401781,77019,medicallaw,1,Safety & Security,Yelp
Terry Bryant Accident and Injury Law,29.78726,-95.497891,77024,medicallaw,1,Safety & Security,Yelp
Smith & Hassler,29.8119015,-95.42099367,77008,medicallaw,1,Safety & Security,Yelp
D. Miller & Associates,29.7382519,-95.5593065,77042,medicallaw,1,Safety & Security,Yelp
Tracey & Fox - Houston,29.7627004592967,-95.3645860840961,77002,medicallaw,1,Safety & Security,Yelp
Bob Bennett & Associates,29.7612011,-95.36126,77002,medicallaw,1,Safety & Security,Yelp
"Jose Orihuela, Attorney at Law",29.812938,-95.36089,77009,medicallaw,1,Safety & Security,Yelp
Kreindler & Associates,29.75887,-95.36381,77002,medicallaw,1,Safety & Security,Yelp
Simmons and Fletcher,29.7835161,-95.5374087,77024,medicallaw,1,Safety & Security,Yelp
Law Office of Johnnie Carter III,29.733591,-95.476194,77057,medicallaw,1,Safety & Security,Yelp
Ozlat Injury Lawyers,29.73462,-95.40094,77006,medicallaw,1,Safety & Security,Yelp
The Talaska Law Firm,29.77933,-95.39698,77007,medicallaw,1,Safety & Security,Yelp
The Pinkerton Law Firm,29.7668777,-95.421479,77007,medicallaw,1,Safety & Security,Yelp
Ramji Law Group,29.78528,-95.51719,77055,medicallaw,1,Safety & Security,Yelp
Le Law Group,29.703399,-95.556151,77072,medicallaw,1,Safety & Security,Yelp
Johnson Law Group,29.73356,-95.42271,77098,medicallaw,1,Safety & Security,Yelp
Todd E Webb,29.729517,-95.412356,77098,medicallaw,1,Safety & Security,Yelp
"Brown, Christie and Green",29.75887,-95.36381,77002,medicallaw,1,Safety & Security,Yelp
Blizzard Law,29.72798,-95.39152,77006,medicallaw,1,Safety & Security,Yelp
AK Law Firm: Injury Lawyers,29.759001,-95.401781,77019,medicallaw,1,Safety & Security,Yelp
Willumsen Law Firm PC,29.7537576050054,-95.4622373933929,77056,medicallaw,1,Safety & Security,Yelp
