Business_name,latitude,longitude,category,lifeline_num,lifeline_name,Source
Sparkletts Water,29.9554023,-95.5175323,waterdelivery,2,"Food, water, sheltering",Google
Crystal Water,29.7025212,-95.5786335,waterdelivery,2,"Food, water, sheltering",Google
Culligan of Houston,29.843972,-95.5134274,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,30.0899261,-95.6302997,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.7905227,-95.4002635,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.7830885,-95.3556442,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.4641426,-95.045998,waterdelivery,2,"Food, water, sheltering",Google
Glacier Water Dispenser,30.0687442,-95.4495397,waterdelivery,2,"Food, water, sheltering",Google
American Water,29.9880868,-95.5731917,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,30.0059848,-95.2843148,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.7331327,-95.3287487,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.7980503,-95.3664104,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.8053107,-95.3608464,waterdelivery,2,"Food, water, sheltering",Google
Watermill Express,29.5707886,-95.7759551,waterdelivery,2,"Food, water, sheltering",Google
Primo water,29.8224987,-95.5223619,waterdelivery,2,"Food, water, sheltering",Google
"Niagara Bottling, LLC",29.6094519,-95.5158834,waterdelivery,2,"Food, water, sheltering",Google
Kinetico,29.4453773,-95.2377853,waterdelivery,2,"Food, water, sheltering",Google
Pool Water Products,29.932761,-95.5737813,waterdelivery,2,"Food, water, sheltering",Google
Crystal Water,29.7025212,-95.5786335,watersuppliers,2,"Food, water, sheltering",Google
Watermill Express,29.7905227,-95.4002635,watersuppliers,2,"Food, water, sheltering",Google
Gulf Coast Water Authority,29.6071064,-95.5861603,watersuppliers,2,"Food, water, sheltering",Google
Water Treatment Solutions,29.7507951,-95.3649374,watersuppliers,2,"Food, water, sheltering",Google
Sugarland Pure Water,29.682645,-95.6427246,watersuppliers,2,"Food, water, sheltering",Google
Bay Area Water Treatment,29.4655598,-95.2803867,watersuppliers,2,"Food, water, sheltering",Google
Watermill Express,29.7980503,-95.3664104,watersuppliers,2,"Food, water, sheltering",Google
Watermill Express,29.7830885,-95.3556442,watersuppliers,2,"Food, water, sheltering",Google
Culligan of Houston,29.843972,-95.5134274,watersuppliers,2,"Food, water, sheltering",Google
Watermill Express,29.7331327,-95.3287487,watersuppliers,2,"Food, water, sheltering",Google
Gladden Bottled Water Delivery Houston,29.7458251,-95.4578779,watersuppliers,2,"Food, water, sheltering",Google
P & B Water Corporation,29.5267775,-95.244911,watersuppliers,2,"Food, water, sheltering",Google
Sparkletts Water,29.7299827,-94.9870491,watersuppliers,2,"Food, water, sheltering",Google
Water Tree Cypress,29.9619603,-95.7097141,watersuppliers,2,"Food, water, sheltering",Google
H2eco Water LLC,29.9581882,-95.3595068,watersuppliers,2,"Food, water, sheltering",Google
"Niagara Bottling, LLC",29.6094519,-95.5158834,watersuppliers,2,"Food, water, sheltering",Google
Quench USA - Houston,29.8046371,-95.4682985,watersuppliers,2,"Food, water, sheltering",Google
Kinetico,29.4453773,-95.2377853,watersuppliers,2,"Food, water, sheltering",Google
"Si Environmental, LLC",29.5442083,-95.761595,watersuppliers,2,"Food, water, sheltering",Google
Water Tree Serenity,29.9970349,-95.1956996,watersuppliers,2,"Food, water, sheltering",Google
Northeast Mental Health Crisis Clinic,29.9931165,-95.2757617,counciling and mental health,3,Health and medical,Google
Cy-Hope Counseling & Speech Therapy,29.9586745,-95.6566067,counciling and mental health,3,Health and medical,Google
Edna Lee Counseling,29.7087636,-95.4580212,counciling and mental health,3,Health and medical,Google
Memorial Hermann Behavioral Health Northeast Crisis Care Clinic,29.9929615,-95.2759563,counciling and mental health,3,Health and medical,Google
"Life Coach and Career Counselor Paula Fendley, Ed.D.",29.7965458,-95.3892722,counciling and mental health,3,Health and medical,Google
Center for Healthy Sexuality,29.7415347,-95.4832552,counciling and mental health,3,Health and medical,Google
Taylor Recovery Drug & Alcohol Rehabilitation Houston,29.811886,-95.321231,counciling and mental health,3,Health and medical,Google
Legacy Community Health - Montrose Clinic,29.7450549,-95.3941256,counciling and mental health,3,Health and medical,Google
Into Action Recovery Centers,29.5513642,-95.1149934,counciling and mental health,3,Health and medical,Google
Hospital,29.9257621,-95.6315018,hospitals,3,Health and medical,Google
Memorial Hermann Greater Heights Hospital,29.8115414,-95.430426,hospitals,3,Health and medical,Google
Kindred Hospital Houston Northwest,29.924494,-95.5881912,hospitals,3,Health and medical,Google
Kindred Hospital Houston Medical Center,29.713189,-95.39931,hospitals,3,Health and medical,Google
Memorial Hermann Southeast Hospital,29.582251,-95.207877,hospitals,3,Health and medical,Google
Memorial Hermann Northeast Hospital,29.9956466,-95.2760788,hospitals,3,Health and medical,Google
Harris Health Ben Taub Hospital,29.7110567,-95.3945559,hospitals,3,Health and medical,Google
Memorial Hermann,29.6941457,-95.5219895,hospitals,3,Health and medical,Google
Kindred Hospital Clear Lake,29.5435654,-95.1274902,hospitals,3,Health and medical,Google
Harris County Hospital District,29.7738652,-95.360979,hospitals,3,Health and medical,Google
HCA Houston Healthcare Clear Lake,29.5408671,-95.1271627,hospitals,3,Health and medical,Google
Atrium Medical Center,29.6462964,-95.5882912,hospitals,3,Health and medical,Google
Harris County Hospital District,29.7759964,-95.1762219,hospitals,3,Health and medical,Google
Memorial Hermann Southwest Hospital,29.6931623,-95.5219455,hospitals,3,Health and medical,Google
clear lake hospital,29.5413016,-95.1277335,hospitals,3,Health and medical,Google
Memorial Herman,29.7813131,-95.546905,hospitals,3,Health and medical,Google
UTMB Health League City Campus Hospital & Clinics,29.481445,-95.098429,hospitals,3,Health and medical,Google
Quentin Mease Community Hospital,29.7108631,-95.3595845,hospitals,3,Health and medical,Google
HCA Houston Healthcare Northwest,30.0204601,-95.4425602,hospitals,3,Health and medical,Google
Red Oak Hospital,30.0257629,-95.4497886,hospitals,3,Health and medical,Google
Neighbors Emergency Center,30.0490236,-95.238934,emergencyrooms,3,Health and medical,Google
First Choice Emergency Room,29.915335,-95.485544,emergencyrooms,3,Health and medical,Google
Bellaire ER,29.705859,-95.47314,emergencyrooms,3,Health and medical,Google
Neighbors Emergency Center - Pearland,29.5552756,-95.3922443,emergencyrooms,3,Health and medical,Google
SignatureCare Emergency Center: Emergency Room,29.7227885,-95.4676387,emergencyrooms,3,Health and medical,Google
Neighbors Emergency Center,29.651265,-95.127923,emergencyrooms,3,Health and medical,Google
Neighbors Emergency Center,30.1188384,-95.2331833,emergencyrooms,3,Health and medical,Google
Neighbors Emergency Center,29.8921843,-95.0625727,emergencyrooms,3,Health and medical,Google
"Emergency Room - Baylor St. Luke's Holcombe - Houston, TX",29.7051775,-95.4204109,emergencyrooms,3,Health and medical,Google
Neighbors Emergency Center,29.790274,-94.980362,emergencyrooms,3,Health and medical,Google
"Emergency Room at St. Luke's Health - Pasadena, TX",29.6328507,-95.1660746,emergencyrooms,3,Health and medical,Google
Emergency Room at HCA Houston Southeast,29.6612444,-95.1837808,emergencyrooms,3,Health and medical,Google
"Emergency Room - Baylor St. Luke's Pearland - Pearland, TX",29.5799155,-95.4008767,emergencyrooms,3,Health and medical,Google
Memorial Hermann Convenient Care Center in Katy,29.7033811,-95.7743434,emergencyrooms,3,Health and medical,Google
Memorial Hermann Convenient Care Center in Spring (Spring CCC),30.0863312,-95.5355072,emergencyrooms,3,Health and medical,Google
Ally Medical Emergency Room - Clear Lake,29.6038403,-95.1275003,emergencyrooms,3,Health and medical,Google
Memorial Hermann Surgical Hospital Kingwood Emergency Room,30.0481612,-95.259164,emergencyrooms,3,Health and medical,Google
St Michael's Elite Hospital,29.5981021,-95.6243564,emergencyrooms,3,Health and medical,Google
HCA Houston Healthcare Northwest,30.0204601,-95.4425602,emergencyrooms,3,Health and medical,Google
